Lyrics,Song,Artist
"
Give me your eyes
That I might see the blind man kissing my hands
The sun is humming
My head turns to dust as he plays on his knees
As he plays on his knees

And the sand
And the sea grows
I close my eyes
Move slowly through drowning waves
Going away on a strange day

And I laugh as I drift in the wind
Blind
Dancing on a beach of stone
Cherish the faces as they wait for the end
Sudden hush across the water
And we're here again

And the sand
And the sea grows
I close my eyes
Move slowly through drowning waves
Going away
On a strange day

My head falls backs
And the walls crash down
And the sky
And the impossible
Explode
Held for one moment I remember a song
An impression of sound
Then everything is gone
Forever

A strange day
",A Strange Day,cure
"
Scarred
Your back was turned
Curled like an embryo
Take another face
You will be kissed again
I was cold as I mouthed the words
And crawled across the mirror
I wait
Await the next breath
Your name
Like ice into my heart

A shallow grave
A monument to the ruined age
Ice in my eyes
And eyes like ice don't move
Screaming at the moon
Another past time
Your name
Like ice into my heart

Everything as cold as life
Can no one save you?
Everything
As cold as silence
And you never say a word

Your name
Like ice into my heart
Your name
Like ice into my heart
",Cold,cure
"
A hand in my mouth
A life spills into the flowers
We all look so perfect
As we all fall down
In an electric glare
The old man cracks with age
She found his last picture
In the ashes of the fire
An image of the queen
Echoes round the sweating bed
Sour yellow sounds inside my head
In books
And films
And in life
And in heaven
The sound of slaughter
As your body turns

But it's too late
But it's too late

One more day like today and I'll kill you
A desire for flesh
And real blood
I'll watch you drown in the shower
Pushing my life through your open eyes

I must fight this sickness
Find a cure
I must fight this sickness
",Pornography,cure
"
Doo doo doo doo
Doo doo doo doo

Let me take your hand
I'm shaking like milk
Turning
Turning blue
All over the windows and the floors
Fires outside in the sky
Look as perfect as cats
The two of us
Together again
But it's just the same
A stupid game

But I don't care if you don't
And I don't feel if you don't
And I don't want it if you don't
And I won't say it
If you won't say it first

You think you're tired now
But wait until three
Laughing at the Christmas lights
You remember from December
All of this then back again
Another girl
Another name
Stay alive but stay the same
It's just the same
A stupid game

But I don't care if you don't
And I don't feel if you don't
And I don't want it if you don't
And I won't say it
If you won't say it first

You can't even see now
So you ask me the way
You wonder if it's real
Because it couldn't be rain
Through the right doorway
And into the white room
It used to be the dust that would lay here
When I came here alone

Doo doo doo doo
Doo doo doo doo
Let's go to bed
",Let's Go To Bed,cure
"
You're too far away
Too far away to touch
And this mother's love inside me
Hurts too much
Prettily waving
Playing on the sand
Dreaming of everything
Dancing
Dancing in our hands
Dancing
Dancing

Dizzy dizzy dizzy
As I speak
Like a tumbling cat
I watch in fascination
Like a vampire bat
Don't do it don't do it
Don't do it don't do it
Don't give it away
We'll use it up tomorrow
If we don't use it today

Rest your head
Oh just put it outside
All wrapped up in ribbons
The night
The dream
The time love died

We pushed it in our mouths
Pushed it deep inside
All wrapped up in ribbons
The night
The dream
The time
Love died
",The Dream,cure
"
I remember the time that you rained all night
The queen of Siam in my arms
Remember the time that the islands sank
But nobody opened their eyes

Remember that time that the trees fell down
The wood crashing through the wall
Remember the sound that could wake the dead
But nobody woke up at all

Somebody died for this
Somebody died for just one kiss

Remember the time that the sky went black
We waited alone on the sands
Remember the taste of the raging sea
But nobody held out their hands

Somebody died for this
Somebody died
For just one kiss

Just one kiss
Just one kiss
",Just One Kiss,cure
"
I love it all
These games we play
I close my eyes
You run away
I'm sure I asked you to stay
But now you're gone
And so I feel the grey
Pulse in my head
I turn off the lights and crawl into bed
I try to think of sunshine
But my body goes wet
With the first crash of thunder

I don't think I can know
Anyone but you dear
That's for sure

When it gets to four
It's my turn to go
Oh the kiss
So alcoholic and slow
Arranging me for Saturday
I thought you would know
That I always sleep
Alone

I don't think I can know
Anyone but you
Dear
That's for sure

The upstairs room is cool and bright
We can go up there in summer
And dance all night

Your sister started talking at a minute after ten
So everyone jumped up
And then fell over again
In April you can join them
And stare at me
",The Upstairs Room,cure
"
I called you after midnight
Then ran until my heart burst
I passed the howling woman
And stood outside your door

We walked around the lake
And woke up in the rain
And everyone turned over
Troubled in their dreams again

Visiting time is over
And so we walk away
And both play dead then cry out loud
Why we always cry this way?

I kissed you in the water
And made your dry lips sing
I saw you look
Like a Japanese baby
In an instant I remembered everything

I called you after midnight
Then ran until my heart burst
I passed the howling woman
And stood outside your door

I kissed you in the water
And made your dry lips sing
I saw you look
Like a Japanese baby
In an instant I remembered everything
",The Walk,cure
"
It was only yesterday
Waving arms across the street
Your white face left me blue
How can I say all the things
I have to say to you
Oh all the people here
All look the same
The little time I spend with you
We drink each other dry

Mammnnarghaassstmmetc
Speak my language

It was only yesterday
My eyes touched yours across the street
We cut the words
And waved goodbye
And dropped off the edge of the world

Mammnnarghaassstmmetc
Speak my language
",Speak My Language,cure
"
Today there was a tragedy
Underneath the bridge
A man walked
Cold and blue
Into La Ment
The sky coloured perfect
As the man slipped away
Waving with a last vanilla smile

Somewhere at a table
Two drowned fools
Smoking
Drinking water as they talked
Of how they loved our lady
And oh the smell as candles die

One more ice cream river body
Flowed underneath the bridge
Underneath the bridge
",Lament,cure
"
We move like cagey tigers
We couldn't get closer than this
The way we walk
The way we talk
The way we stalk
The way we kiss

We slip through the streets
While everyone sleeps
Getting bigger and sleeker
And wider and brighter
We bite and scratch and scream all night

Let's go
And throw
All the songs we know

Into the sea
You and me
All these years and no one heard
I'll show you in spring
It's a treacherous thing
We missed you hissed the lovecats
We missed you hissed the lovecats

We're so wonderfully wonderfully wonderfully wonderfully pretty
Oh you know that I'd do anything for you
We should have each other to tea, huh?
We should have each other with cream
Then curl up in the fire
And sleep for awhile
It's the grooviest thing
It's the perfect dream

Into the sea
You and me
All these years and no one heard
I'll show you in spring
It's a treacherous thing
We missed you hissed the lovecats

We missed you hissed the lovecats
We missed you hissed the lovecats
We missed you hissed the lovecats
We missed you hissed the lovecats

We're so wonderfully wonderfully wonderfully wonderfully pretty
Oh you know that I'd do anything for you
We should have each other to dinner?
We should have each other with cream
Then curl up in the fire
Get up for awhile
It's the grooviest thing
It's the perfect dream

Hand in hand
Is the only way to land
Always the right way round
Not broken in pieces
Like hated little meeces
How could we miss
Someone as dumb as this

Missed you hissed the lovecats

I love you let's go
Oh solid gone
How could we miss someone as dumb as this?
",The Lovecats,cure
"
Ha ha ha
Wake up in the dark
The after-taste of anger in the back of my mouth
Spit it on the wall
And cough some more
And scrape my skin with razor blades

And make up in the new blood
And try to look so good
Follow me
Make up in the new blood
And follow me to where the real fun is
Ha ha ha

As stale and selfish as a sick dog
Spurning sex like an animal of god
I'll tear your red hair by the roots
And hold you blazing
Hold you cherished in the dead electric light

Your face
I'll never see you this way again
I captured it so perfectly
As if I knew you'd disappear away

Shake shake shake shake
Shake shake shake shake
Shake dog shake
Shake shake shake shake
Shake shake shake shake
Shake dog shake

You hit me again
You howl and hit me again
The same sharp pain
Wakes me in the dark
And cuts me from my throat to my pounding heart
My heart
My shaking heart
My howl my shake dog

Oh shake dog shake
Shake shake
Shake dog shake

But we slept all night in the virgin's bed
And dreamed of death
And breathed like sick dogs
We slept all night in the virgin's bed
And breathed like death
And dreamed of sick dogs

Shake shake
Shake dog shake

Wake up wake up wake up
Shake dog shake
Wake up wake up wake up
Shake dog shake
Wake up in the new blood
Make up in the new blood
Shake up in the new blood
And follow me to where the real fun is
Shake dog shake
",Shake Dog Shake,cure
"
This girl has got a smile
That can make me cry
This girl just burns with love
She's burning burning deep outside

Night time night time
Sets my house on fire
I'll turn into the melting man
I'll lose my life
To feel I feel desire

Oh I should feel
Like a polar bear
Like a polar bear
It's impossible

She flies outside this cage
Singing girl-mad words
I keep her dark thoughts deep inside
As black as stone
As mad as birds

Wild wild wild
And never turn away
Sends me all her love
She sends me everything
She sends me everywhere

Oh I could be 
A polar bear
Oh I could be
A polar bear
But it's impossible

I try to talk
The sky goes red
I forget
So fill my head
With some of this
Some of that
Some of every word she said

Oh I should be
A polar bear
But it's imposible
",Bird Mad Girl,cure
"
The holy city breathed
Like a dying man
It moved with hopeful tears
With the tears of the blind

And on and on as the night drew in
Through broken streets
That sucked me in
My feet were bare and cut with stones
With walking to the promised land

I pushed through crowds
Through seas of prayer
Through twisting hands and choking air
A vulture at the wailing wall
I circled
",Wailing Wall,cure
"
Get away from me
Get your fingers out of my face
This room's so hot
This room's so hot

I break the walls

Get away from me
Leave me alone
Like the pig on the stairs
Hanging
In a groovy purple shirt

Gasping for air
I'm gasping for air
I'm gasping for love
I'm gasping for air

Slit the cats like cheese
Then eat the sweet sticky things
Suck harder suck harder
Suck your insides insides out

Blood thick swimming round your feet
As you're choking
Choking
Choking on the fleshy words

Give me it give me it give me it
Deaden my glassy mind
Give me it give me it give me it
Make me blind
One step back and one step down
And slip the needles in my side

My head is cold
My hands are cold
My heart is cold
My heart is black
And stops every fucking night
Every night
I wait until it stops

Sing birds sing birds sing birds sing
Get away
",Give Me It,cure
"
Going under slowly
It never seems too late
Going under so slow

Dressing up to kiss
Dressing up to touch all this

I'm dressing up to dance all week
I'm dressing up to sleep

Dressing up to kiss
Dressing up to be all this

I could eat your face
I could eat all of you
Oh this night will never let me go...

Going under slowly
Never seems too late
Going under slow
You'll pick me up again
",Dressing Up,cure
"
Flicka flicka flicka
Here you are
Cata cata cata
Caterpillar girl
Flowing in
And filling up my hopeless heart
Oh never never go
Dust my lemon lies
With powder pink and sweet
The day I stop
Is the day you change
And fly away from me

You flicker
And you're beautiful
You glow inside my head
You hold me hynotized
I'm mesmerized
Your flames
The flames that kiss me dead
",The Caterpillar,cure
"
Shapes in the drink like christ
Cracks in the pale blue wall
I'm walking slowly and quickly but
Always away
Twisting twisting to the floor

Flowers in your mouth and the same dry
Song the routine from laughter land
16 white legs and a row of teeth
I watch you in secrecy

Your dying for the hope is gone
>From here we go nowhere again
I'm trapped in my face and I'm changing 
Too much
I can't climb out the way I fell in

Jump with me
For that old forgotten dance
The midnight sun will burn you up
Your life is cold
Your life is hot
Your life's too much for words

These occasions are such a relief
Another point another view to send
We start to talk
And it's all so safe
I feed you in my dreams

Footsteps on a wire
High above my head
The stain reveals my real intention
I'm the waiting beast
I'm the twisted nerve
As I dance dance
Back to the body in my bed

Look at the piggy
Piggy in the mirror
",Piggy In The Mirror,cure
"
As stiff as toys
And tall as men
And swaying like the wind torn trees
She talked about the empty world
With eyes like poison birds

She talked about the armies
That marched inside her head
And how they made her dreams go bad
But oh how happy she was
How proud she was
To be fighting in the war
In the empty world
",The Empty World,cure
"
Curl into a ball like you have more fun
That would make it faster
Why do you do it do you act like you?...

Don't fight
Go red and blue and black and white
Sell this sell this
Or leave it senseless like a suck on a gun?
Put a piece of metal in your head you said
Make you dead
Make you hippa hippa hippa hippa

A palace of stones
Of your bananafish bones
I'll buy you a hundred years old
To celebrate our difference
Theorise and talk yourself
Until you're tired and old

Disappear everywhere and watch me
Pull my lips apart
Exploit inspire encourage
Be responsible for this
Ha ha

I don't think
I don't think
I make use of all this time
Oh kill me kiss me once
And then we'll throw it away
And then we'll throw it away

Turn off the lights
And tell me about the games you play
",Bananafishbones,cure
"
I don't care
If only I could say that
And not feel so sick and scared
I don't care
If only I could say that
If only my eyes would close

It's jesus brilliant
You used to laugh
Walking these gorgeous blocks
This top is the place
Where nobody goes
You just imagine
You just imagine it all

Every day I lie here
And know that it's true
All I really want is you
Please come back
Please come back
Like all the other ones do

Please come back
All of you
",The Top,cure
"
Yesterday I got so old
I felt like I could die
Yesterday I got so old
It made me want to cry
Go on, go on
Just walk away
Go on, go on
Your choice is made
Go on, go on
And disappear
Go on, go on
Away from here

And I know I was wrong
When I said it was true
That it couldn't be me and be her
Inbetween without you
Without you

Yesterday I got so scared
I shivered like a child
Yesterday away from you
It froze me deep inside
Come back, come back
Don't walk away
Come back, come back
Come back, today
Come back, come back
Why can't you see
Come back, come back
Come back, to me

And I know I was wrong
When I said it was true
That it couldn't be me and be her
Inbetween without you
Without you
",Inbetween Days,cure
"
A nightmare of you
Of death in the pool
Wakes me up at quarter to three
I'm lying on the floor of the night before
With a stranger lying next to me
A nightmare of you
Of death in the pool
I see no further now than this dream
The trembling hand of the trembling man
Hold my mouth
To hold in a scream

I try to think
To make it slow
If only here is where I go
If this is real
I have to see
I turn on fire
And next to me
It looks good
It tastes like nothing on earth
It looks good
It tastes like nothing on earth
Its so smooth it even feels like skin
It tells me how it feels to be new

It tells me how it feels to be new
A thousand voices whisper it true
It tells me how it feels to be new
And every voice belongs
Every voice belongs to you
",Kyoto Song,cure
"
Tell me who doesn't love
What can never come back
You can never forget how it used to feel
The illusion is deep
Its as deep as the night
I can tell by your tears you remember it all

I am paralysed by the blood of Christ
Though it clouds my eyes
I can never stop

How it feels to be dry
Walking bare in the sun
Every mirage I see is a mirage of you
As I cool in the twilight
Taste the salt on my skin
I recall all the tears
All the broken words

I am paralysed by the blood of Christ
Though it clouds my eyes
I can never stop

When the sunsets glow drifts away from you
You'll no longer know
If any of this was really true at all
",The Blood,cure
"
This is stranger than I thought
Six different ways inside my heart
And everyone I'll keep tonight
Six different ways go deep inside

I'll tell them anything at all
I know I'll give them more and more

I'll tell them anything at all
I know I'll give the world and more
The think I'm on my hands and head
This time they're much too slow

Six sides to every lie I say
It's that American voice again
It was never quite like this before
Not one of you is the same

This is stranger than I thought
Six different ways inside my heart
And everyone I'll keep tonight
Six different ways go deep inside
",Six Different Ways,cure
"
Go go go
Push him away
No no no
Don't let him stay

He gets inside to stare at her
The seeping mouth
The mouth that knows
The secret you
Always you
A smile to hide the fear away
Oh smear this man across the walls
Like strawberries and cream
Its the only way to be

Exactly the same clean room
Exactly the same clean bed
But I've stayed away too long this time
And I've got too big to fit this time...
",Push,cure
"
Heaven
Give me a sign
Waiting for the sun to shine
Pleasure fills up my dreams
And I love it
Like a baby screams

Its so useless
How can you be proud
When you're sinking into the ground
Into the ground fills up my dreams
And I love it
Like a baby screams

Couldn't ask for more you said
Take it all
And strike me
Strike me dead

Waiting again
Waiting
Like I waited before
Waiting again
Waiting here for nothing at all
Heaven fills up my dreams
And I love it
Like a baby screams

Couldn't ask for more you said
Couldn't ever let it end
Take it all
Take it all
And strike me dead

Heaven
Heaven
",The Baby Screams,cure
"
I've waited hours for this
I've made myself so sick
I wish I'd stayed asleep today
I never thought that this day would end
I never thought that tonight could ever be
This close to me

Just try to see in the dark
Just try to make it work
To feel the fear before you're here
I make the shapes come much too close
I pull my eyes out
Hold my breath
And wait until I shake

But if I had your faith
Then I could make it safe and clean
If only I was sure
That my head on the door was a dream

I've waited hours for this
I've made myself so sick
I wish I'd stayed asleep today
I never thought that this day would end
I never thought that tonight could ever be
This close to me

But if I had your face
I could make it safe and clean
If only I was sure
That my head on the door
Was a dream
",Close To Me,cure
"
Say goodbye on a night like this
If it's the last thing we ever do
You never looked as lost as this
Sometimes it doesn't even look like you
It goes dark
It goes darker still
Please stay
But I watch you like I'm made of stone
As you walk away

I'm coming to find you if it takes me all night
A witch hunt for another girl
For always and ever is always for you
Your trust
The most gorgeously stupid thing I ever cut in the world

Say hello on a day like today
Say it everytime you move
The way that you look at me now
Makes me wish I was you
It goes deep
It goes deeper still
This touch
And the smile and the shake of your head

I'm coming to find you if it takes me all night
Can't stand here like this anymore
For always and ever is always for you
I want it to be perfect
Like before
I want to change it all

I want to change
",A Night Like This,cure
"
When you screw up your eyes
When you screw up your face
When you throw out your arms
And keep changing your shape
Taste the taste in your mouth
Taste the taste on your tongue
On the film on your eyes of what I've become

What do I do when you screw up your eyes?
What do I do when you screw up your face?
What do I do
When you throw out your arms
Fall on the floor
And keep changing your shape?
Jump right into your mouth?
Jump around on your tongue?

And the film on your eyes of the way I've become
Makes me sick at the way that I try
Anything in the world
To impress that I'm doing this
Only for you
",Screw,cure
"
I am slowing down
As the years go by
I am sinking
So I trick myself
Like everybody else

The secrets I hide
Twist me inside
They make me weaker

So I trick myself
Like everybody else
I crouch in fear and wait
I'll never feel again

If only I could remember
Anything at all
",Sinking,cure
"
Kiss me kiss me kiss me
Your tongue is like poison
So swollen it fills up my mouth

Love me love me love me
You nail me to the floor
And push my guts all inside out

Get it out get it out get it out
Get your fucking voice
Out of my head

I never wanted this
I never wanted any of this
I wish you were dead
I wish you were dead

I never wanted any of this
I wish you were dead
Dead
Dead
Dead
",The Kiss,cure
"
Yes I know who you remind me of
A girl I think I used to know
Yes I'd see her when the day got colder
On those days when it felt like snow

You know I even think that she stared like you
She used to just stand there and stare
And roll her eyes right up to heaven
And make like I just wasn't there

And she used to fall down a lot
That girl was always falling
Again and again
And I used to sometimes try to catch her
But I never even caught her name

And sometimes we would spend the night
Just rolling about on a floor
And I remember
Even though it felt soft at the time
I always used to wake up sore

You know I even think that she smiled like you
She used to just stand there and smile
And her eyes would go all sort of far away
And stay like that for quite a while

And I remember she used to fall down a lot
That girl was always falling
Again and again
And I used to sometimes try to catch her
But I never even caught her name

Yes I sometimes even tried to catch her
But I never even caught her name
",Catch,cure
"
I'm in the room without a light
The room without a view
I'm here for one more treacherous night
Another night with you
It tortures me to move my hands
To try to move at all
And pulled
My skin so tight it screams
And screams and screams
And pulls some more

Hanging like this
Like a vampire bat
Hanging like this
Hanging on your back
I'm helpless again

My body is cut and broken
It's shattered and sore
My body is cut wide open
I can't stand anymore
It tortures me to move my hands
To try to move at all
And pulled
My skin so tight screams
And screams and screams
And screams some more

Hanging like this
Like a vampire bat
Hanging like this hanging on your back
Oh it's torture
And I'm almost there
It's torture
But I'm almost there

It's torture
But I'm almost there
It's torture
But I'm almost there
",Torture,cure
"
If only tonight we could sleep
In a bed made of flowers
If only tonight we could fall
In a deathless spell

If only tonight we could slide
Into deep black water
And breathe
And breathe...

Then an angel would come
With burning eyes like stars
And bury us deep
In his velvet arms

And the rain would cry
As our faces slipped away
And the rain would cry

Don't let it end...
",If Only Tonight We Could Sleep,cure
"
You're so gorgeous I'll do anything
I'll kiss you from your feet
To where your head begins
You're so perfect you're so right as rain
You make me
Make me hungry again

Everything you do is irresistable
Everything you do is simply kissable
Why can't I be you?

I'll run around in circles
Til I run out of breath
I'll eat you all up
Or I'll just hug you to death
You're so wonderful
Too good to be true
You make me
Make me hungry for you

Everything you do is simply delicate
Everything you do is quite angelicate
Why can't I be you?

You turn my head when you turn around
You turn the whole world upside down
I'm smitten I'm bitten I'm hooked I'm cooked
I'm stuck like glue
You make me
Make me hungry for you

Everything you do is simply dreamy
Everything you do is quite delicious
Why can't I be you?
Why can't I be you?
Why can't I be you?
",Why Can't I Be You?,cure
"
You want to know why I hate you?
Well I'll try and explain...
You remember that day in Paris
When we wandered through the rain
And promised to each other
That we'd always think the same
And dreamed that dream
To be two souls as one
And stopped just as the sun set
And waited for the night
Outside a glittering building
Of glittering glass and burning light...

And in the road before us
Stood a weary greyish man
Who held a child upon his back
A small boy by the hand
The three of them were dressed in rags
And thinner than the air
And all six eyes stared fixedly on you

The father's eyes said ""Beautiful!
How beautiful you are!""
The boy's eyes said
""How beautiful!
She shimmers like a star!""
The childs eyes uttered nothing
But a mute and utter joy
And filled my heart with shame for us
At the way we are

I turned to look at you
To read my thoughts upon your face
And gazed so deep into your eyes
So beautiful and strange
Until you spoke
And showed me understanding is a dream
""I hate these people staring
Make them go away from me!""

The fathers eyes said ""Beautiful!
How beautiful you are!""
The boys eyes said
""How beautiful! She glitters like a star!""
The child's eyes uttered joy
And stilled my heart with sadness
For the way we are

And this is why I hate you
And how I understand
That no-one ever knows or loves another

Or loves another
",How Beautiful You Are,cure
"
Well we're a mile under the ground
And I'm thinking that it's Christmas
And I'm kissing you hard
Like I've got very important business
And no-one knows
And no-one sees us
Because they're drinking themselves senseless
And I'm writhing
And I'm writhing
And I'm writhing in the snakepit

Well I'm out in a car
And it's just full of stupid girls
And I've forgotten how to speak
And I just can't remember a word
And my eyes feel like they're bursting
And they're splitting like plums
And I'm writhing
And I'm writhing
And I'm writhing in the snakepit
",The Snakepit,cure
"
Hey you!!!
Yes you
Yes you the one that looks like Christmas
Come over here and kiss me
Kiss me

Hey you!!!
Yes you
Yes you the one that looks delirious
Come over here and kiss me
Kiss me
",Hey You!!!,cure
"
""Show me, show me, show me how you do that trick?
The one that makes me scream."" she said
""The one that makes me laugh."" she said
And threw her arms around my neck
""Show me how you do it,
And I promise you,
I promise that
I'll run away with you,
I'll run away with you.""

Spinning on that dizzy edge
I kissed her face and kissed her head
And dreamed of all the different ways
I had to make her glow
""Why are you so far away?"" she said,
""Why won't you ever know
That I'm in love with you,
That I'm in love with you.""

You
Soft and only
You
Lost and lonely
You
Strange as angels
Dancing in the deepest oceans
Twisting in the water
You're just like a dream
You're just like a dream

Daylight licked me into shape
I must have been asleep for days
And moving lips to breathe her name
I opened up my eyes
And found myself alone alone
Alone above a raging sea
That stole the only girl I loved
And drowned her deep inside of me

You
Soft and only
You
Lost and lonely
You
Just like heaven
",Just Like Heaven,cure
"
Tonight I'm feeling like an animal
Tonight I'm howling inside
Tonight I'm feeling like an animal
Tonight I'm going wild

And all I want is to be with you again
And all I want is to hold you like a dog
And all I want is to be with you again
With you again
Just to hold you like a dog

Tonight I'm screaming like an animal
Tonight I'm losing control
Tonight I'm screaming like an animal
Tonight oh I'm getting so low

And all I want is to be with you again
And all I want is to hold you like a dog
And all I want is to be with you again
With you again
Just to hold you like a dog
That's all I want
",All I Want,cure
"
The first time I saw lightening strike
I saw it underground
Six deep feet below the street
The sky came crashing down
For a second that place was lost in space
Then everything went black
I left that basement burning
And I never went back

The second time I saw it strike
I saw it at sea
It lit up the fish like rain
And rained then down on me
For a second that boat was still afloat
Then everything went black
I left it underwater
And I never went back

Hey hey hey!!!
But I like it when that lightening comes
Hey hey hey!!!
Yes I like it alot
Hey hey hey!!!
Yes I'm jumping like a jumping jack
Dancing screaming itching squealing fevered
Feeling hot hot hot!!!

The third time I saw lightening strike
It hit me in bed
It threw me around
And left me for dead
For a second that room was on the moon
Then everything went black
I left that house on fire
And I never went back

Hey hey hey!!!
But I like it when that lightening comes
Hey hey hey!!!
Yes I like it alot
Hey hey hey!!!
Yes I'm jumping like a jumping jack
Dancing screaming itching squealing fevered
Feeling hot hot hot!!!
",Hot Hot Hot!!!,cure
"
I'd love to touch the sky tonight
I'd love to touch the sky
So take me in your arms
And lift me like a child
And hold me up so high
And never let me go
Take me
Take me in your arms tonight

Hold me
Hold me up so high
And never let me down
Hold me
Hold me up so high
To touch the sky
Just one more time

Take me in your arms tonight
Take me in your arms
Just one more time
Just one more time
Just one more time
",One More Time,cure
"
She walked out of her house
And looked around
At all the gardens that looked
Back at her house
(Like all the faces
That quiz when you smile...)

And he was standing
At the corner
Where the road turned dark
A part of shiny wet
Like blood the rain fell
Black down on the street

And kissed his feet she fell
Her head an inch away from heaven
And her face pressed tight
And all around the night sang out
Like cockatoos

""There are a thousand things"" he said
""I'll never say those things to you again""
And turning on his heel
He left a trace of bubbles
Bleeding in his stead

And in her head
A picture of a boy who left her
Lonely in the rain
(And all around the night sang out
like cockatoos)
",Like Cockatoos,cure
"
Your delicious
Dreaming
Slack jawed
Green eyed
Rub my nose in
Icing sugar
Smooth as
When this cold and deadly
Blade
Kissed the fruit
So soft
And gently breathing
Under your skin

Oh I'll empty you
I'll empty you
As empty as a boy can be
As empty
As a boy can be
",Icing Sugar,cure
"
You're such a strange girl
I think you come from another world
You're such a strange girl
I really don't understand a word
You're such a strange girl
I'd like to shake you around and around
You're such a strange girl
I'd like
To turn you
All upside down

You're such a
Strange girl
The way you look like you do
You're such a strange girl
I want
To be with you

I think I'm falling
I think I'm falling in
I think I'm falling in love with you
With you
",The Perfect Girl,cure
"
For how much longer can I howl into this wind?
For how much longer
Can I cry like this?

A thousand wasted hours a day
Just to feel my heart for a second
A thousand hours just thrown away
Just to feel my heart for a second

For how much longer can I howl into this wind?
",A Thousand Hours,cure
"
You're just a waste of time
You're just a babbling face
You're just three sick holes that run like sores
You're a fucking waste
You're like a slug on the girl
Oh you're useless and ugly
And useless and ugly
And I shiver and shake
When I think of how you make me hate

I want to smash you to pieces
I want to smash you up and screaming
I want to smash you helpless
Down on the floor
Smash you until you're not here anymore

And I shiver and shake
Shiver and shake
",Shiver And Shake,cure
"
Sometimes there's nothing to feel
Sometimes there's nothing to hold
Sometimes there's no time to run away
Sometimes you just feel so old
The times it hurts when you cry
The times it hurts just to breathe
And then it all seems like there's no-one left
And all you want is to sleep

Fight fight fight
Just push it away
Fight fight fight
Just push until it breaks
Fight fight fight
Don't cry at the pain
Fight fight fight
Or watch yourself burn again
Fight fight fight
Don't howl like a dog
Fight fight
Just fill up the sky
Fight fight fight
Fight til you drop
Fight fight fight
And never never
Never stop

Fight fight fight
Fight fight fight

So when the hurting starts
And when the nightmares begin
Remember you can fill up the sky
You don't have to give in
You don't have to give in

Never give in
Never give in
Never give in
",Fight,cure
"
I think it's dark and it looks like it's rain, you said
And the wind is blowing like it's the end of the world, you said
And it's so cold, it's like the cold if you were dead
And then you smiled for a second

I think I'm old and I'm feeling pain, you said
And it's all running out like it's the end of the world, you said
And it's so cold, it's like the cold if you were dead
And then you smiled for a second

Sometimes you make me feel
Like I'm living at the edge of the world
Like I'm living at the edge of the world
It's just the way I smile, you said
",Plainsong,cure
"
I've been looking so long at these pictures of you
That I almost believe that they're real
I've been living so long with my pictures of you
That I almost believe that the pictures are
All I can feel

Remembering you
Standing quiet in the rain
As I ran to your heart to be near
And we kissed as the sky fell in
Holding you close
How I always held close in your fear
Remembering you
Running soft through the night
You were bigger and brighter and wider than snow
And screamed at the make-believe
Screamed at the sky
And you finally found all your courage
To let it all go

Remembering you
Fallen into my arms
Crying for the death of your heart
You were stone white
So delicate
Lost in the cold
You were always so lost in the dark
Remembering you
How you used to be
Slow drowned
You were angels
So much more than everything
Hold for the last time then slip away quietly
Open my eyes
But I never see anything

If only I'd thought of the right words
I could have held on to your heart
If only I'd thought of the right words
I wouldn't be breaking apart
All my pictures of you

Looking so long at these pictures of you
But I never hold on to your heart
Looking so long for the words to be true
But always just breaking apart
My pictures of you

There was nothing in the world
That I ever wanted more
Than to feel you deep in my heart
There was nothing in the world
That I ever wanted more
Than to never feel the breaking apart
All my pictures of you
",Pictures Of You,cure
"
I'm running out of time
I'm out of step and closing down
And never sleep for wanting hours
The empty hours of greed and uselessly
Always the need to feel again
The real belief of something more than mockery
If only I could fill my heart with love
",Closedown,cure
"
Whenever I'm alone with you
You make me feel like I am home again
Whenever I'm alone with you
You make me feel like I am whole again

Whenever I'm alone with you
You make me feel like I am young again
Whenever I'm alone with you
You make me feel like I am fun again

However far away
I will always love you
However long I stay
I will always love you
Whatever words I say
I will always love you
I will always love you

(Fly me to the moon)

Whenever I'm alone with you
You make me feel like I am free again
Whenever I'm alone with you
You make me feel like I am clean again

However far away
I will always love you
However long I stay
I will always love you
Whatever words I say
I will always love you
I will always love you
",Lovesong,cure
"
I'm so glad you came
I'm so glad you remembered
To see how we're ending
Our last dance together
Expectant, too punctual
But prettier than ever
I really believe that this time it's forever

But older than me now
More constant, more real
And the fur and the mouth and the innocence turned
To hair and contentment
That hangs in abasement
A woman now standing
Where once there was only a girl

I'm so glad you came
I'm so glad you remembered
The walking through walls
In the heart of December
The blindness of happiness
Of falling down laughing
And I really believed that this time was forever

But Christmas falls late now
Flatter and colder
And never as bright
As when we used to fall
All this in an instant
Before I can kiss you
A woman now standing
Where once there was only a girl

(Your name like ice into my heart)

I'm so glad you came
I'm so glad you remembered
To see how we're ending
Our last dance together
Reluctantly, cautiously
But prettier than ever
I really believe that this time it's forever

But Christmas falls late now
Flatter and colder
And never as bright
As when we used to fall
And even if we drink
I don't think we would kiss
In the way that we did
When the woman was only a girl
",Last Dance,cure
